"SampleID","SampleID.1","Message"
"mmu-miR-139-3p	6.345015567	7.913083898	7.826998263	8.074926644	7.852719751	6.654361744	6.818068343	6.039286021	6.26622517	6.406420946	6.876266557	6.969459892","mmu-miR-139-3p	6.345015567	7.913083898	7.826998263	8.074926644	7.852719751	6.654361744	6.818068343	6.039286021	6.26622517	6.406420946	6.876266557	6.969459892","No results found"
"mmu-miR-501-3p	7.65722317	8.294220939	8.467785851	8.299556215	8.303609758	8.296639697	7.542410697	7.074633435	7.018106269	7.203490199	7.462959108	7.451139128","mmu-miR-501-3p	7.65722317	8.294220939	8.467785851	8.299556215	8.303609758	8.296639697	7.542410697	7.074633435	7.018106269	7.203490199	7.462959108	7.451139128","No results found"
"mmu-miR-325-3p	9.162694103	9.902275582	10.05591418	9.915455622	9.745882253	9.54939112	9.242466039	8.854839169	8.75742707	8.762562296	8.851917083	8.370460657","mmu-miR-325-3p	9.162694103	9.902275582	10.05591418	9.915455622	9.745882253	9.54939112	9.242466039	8.854839169	8.75742707	8.762562296	8.851917083	8.370460657","No results found"
"mmu-miR-10b-5p	4.321943721	5.983036842	5.48359601	4.878249979	5.795923236	5.384409658	4.852592816	4.453029318	4.48928167	4.67860032	4.486092607	4.074088133","mmu-miR-10b-5p	4.321943721	5.983036842	5.48359601	4.878249979	5.795923236	5.384409658	4.852592816	4.453029318	4.48928167	4.67860032	4.486092607	4.074088133","No results found"
"mmu-miR-5126	5.633449198	5.350156642	3.812414573	5.642220228	5.997352	5.40925801	4.458550205	4.542298076	4.375153322	4.281035267	4.818770546	4.678570237","mmu-miR-5126	5.633449198	5.350156642	3.812414573	5.642220228	5.997352	5.40925801	4.458550205	4.542298076	4.375153322	4.281035267	4.818770546	4.678570237","No results found"
"mmu-miR-3072-3p	6.924585882	7.639917895	7.344603783	7.524956876	7.609219776	7.181678445	6.795825028	6.278918522	6.224886353	6.307166083	6.435477918	6.742234823","mmu-miR-3072-3p	6.924585882	7.639917895	7.344603783	7.524956876	7.609219776	7.181678445	6.795825028	6.278918522	6.224886353	6.307166083	6.435477918	6.742234823","No results found"
"mmu-miR-34b-5p	3.696761802	5.525045353	5.581691274	5.243371324	5.698107241	5.346315767	4.486595086	4.762631182	4.353396639	4.989942465	3.708129015	4.010121972","mmu-miR-34b-5p	3.696761802	5.525045353	5.581691274	5.243371324	5.698107241	5.346315767	4.486595086	4.762631182	4.353396639	4.989942465	3.708129015	4.010121972","No results found"
"mmu-miR-1264-5p	5.837345722	6.782494705	6.348215507	5.769858069	5.545755567	6.408501177	5.364292658	5.439548803	5.187327684	5.935680465	4.998140498	4.636819933","mmu-miR-1264-5p	5.837345722	6.782494705	6.348215507	5.769858069	5.545755567	6.408501177	5.364292658	5.439548803	5.187327684	5.935680465	4.998140498	4.636819933","No results found"
"mmu-miR-33-5p	4.925179622	5.399994195	5.821418577	5.995555221	4.574125924	4.914552481	4.915838377	4.929114254	4.459040323	4.464970573	3.978922768	3.872995982","mmu-miR-33-5p	4.925179622	5.399994195	5.821418577	5.995555221	4.574125924	4.914552481	4.915838377	4.929114254	4.459040323	4.464970573	3.978922768	3.872995982","No results found"
"mmu-miR-338-5p	9.800841538	10.53533666	10.63974402	10.70207959	10.68937228	10.33691295	9.971310909	9.521087267	9.501288079	9.426076222	9.55186746	9.788365739","mmu-miR-338-5p	9.800841538	10.53533666	10.63974402	10.70207959	10.68937228	10.33691295	9.971310909	9.521087267	9.501288079	9.426076222	9.55186746	9.788365739","No results found"
