"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scaf11"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rngtt"	"	"	"	"	"	"	"Zfp553"	"	"	"	"	"	"	"	"	"Parp2"	"	"	"	"	"	"	"	"	"	"	"Hecw2"	"	"	"	"	"Hmga1b"	"	"	"Gale"	"	"	"Hmgcs1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scaf4"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rnmt"	"	"	"	"	"	"	"Zfp593"	"	"	"	"	"	"	"	"	"Parp6"	"	"	"	"	"	"	"	"	"	"	"Heg1"	"	"	"	"	"Hmga2"	"	"	"Galk1"	"	"	"Hmgcs2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scaf8"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rnpc3"	"	"	"	"	"	"	"Zfp622"	"	"	"	"	"	"	"	"	"Parp8"	"	"	"	"	"	"	"	"	"	"	"Helb"	"	"	"	"	"Hmgb2"	"	"	"Galk2"	"	"	"Hmgxb3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scamp1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Robo2"	"	"	"	"	"	"	"Zfp652"	"	"	"	"	"	"	"	"	"Parp9"	"	"	"	"	"	"	"	"	"	"	"Hells"	"	"	"	"	"Hmgcl"	"	"	"Galm"	"	"	"Hmgxb4"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scamp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rock1"	"	"	"	"	"	"	"Zfp654"	"	"	"	"	"	"	"	"	"Parpbp"	"	"	"	"	"	"	"	"	"	"	"Helq"	"	"	"	"	"Hmgcr"	"	"	"Galnt1"	"	"	"Hmmr"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scamp3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rock2"	"	"	"	"	"	"	"Zfp658"	"	"	"	"	"	"	"	"	"Parva"	"	"	"	"	"	"	"	"	"	"	"Helz"	"	"	"	"	"Hmgcs1"	"	"	"Galnt11"	"	"	"Hmox1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scamp5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rogdi"	"	"	"	"	"	"	"Zfp667"	"	"	"	"	"	"	"	"	"Patj"	"	"	"	"	"	"	"	"	"	"	"Helz2"	"	"	"	"	"Hmgcs2"	"	"	"Galnt12"	"	"	"Hmox2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scarb2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ropn1l"	"	"	"	"	"	"	"Zfp68"	"	"	"	"	"	"	"	"	"Patl1"	"	"	"	"	"	"	"	"	"	"	"Hephl1"	"	"	"	"	"Hmox1"	"	"	"Galnt17"	"	"	"Hnf1a"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scd1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rora"	"	"	"	"	"	"	"Zfp688"	"	"	"	"	"	"	"	"	"Patz1"	"	"	"	"	"	"	"	"	"	"	"Herc1"	"	"	"	"	"Hmox2"	"	"	"Galnt2"	"	"	"Hnf4a"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scd2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rp2"	"	"	"	"	"	"	"Zfp69"	"	"	"	"	"	"	"	"	"Pax5"	"	"	"	"	"	"	"	"	"	"	"Herc2"	"	"	"	"	"Hnf1a"	"	"	"Galnt3"	"	"	"Hnrnpa0"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scfd1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpa2"	"	"	"	"	"	"	"Zfp692"	"	"	"	"	"	"	"	"	"Paxbp1"	"	"	"	"	"	"	"	"	"	"	"Herc3"	"	"	"	"	"Hnf4a"	"	"	"Galnt4"	"	"	"Hnrnpa2b1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scly"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpf1"	"	"	"	"	"	"	"Zfp710"	"	"	"	"	"	"	"	"	"Paxip1"	"	"	"	"	"	"	"	"	"	"	"Herc4"	"	"	"	"	"Hnrnpa0"	"	"	"Galnt7"	"	"	"Hnrnpc"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpia"	"	"	"	"	"	"	"Zfp715"	"	"	"	"	"	"	"	"	"Pbdc1"	"	"	"	"	"	"	"	"	"	"	"Herpud2"	"	"	"	"	"Hnrnpa2b1"	"	"	"Galt"	"	"	"Hnrnpd"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Scyl2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpl4"	"	"	"	"	"	"	"Zfp72"	"	"	"	"	"	"	"	"	"Pbk"	"	"	"	"	"	"	"	"	"	"	"Hes1"	"	"	"	"	"Hnrnpc"	"	"	"Gan"	"	"	"Hnrnpdl"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdad1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rplp0"	"	"	"	"	"	"	"Zfp729b"	"	"	"	"	"	"	"	"	"Pbld1"	"	"	"	"	"	"	"	"	"	"	"Hexa"	"	"	"	"	"Hnrnpd"	"	"	"Ganab"	"	"	"Hnrnpk"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdc1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpn1"	"	"	"	"	"	"	"Zfp763"	"	"	"	"	"	"	"	"	"Pbrm1"	"	"	"	"	"	"	"	"	"	"	"Heyl"	"	"	"	"	"Hnrnpdl"	"	"	"Gapvd1"	"	"	"Hnrnpl"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdc3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rpp14"	"	"	"	"	"	"	"Zfp768"	"	"	"	"	"	"	"	"	"Pcbp1"	"	"	"	"	"	"	"	"	"	"	"Hgd"	"	"	"	"	"Hnrnph1"	"	"	"Garem1"	"	"	"Hnrnpll"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdcbp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rprd1a"	"	"	"	"	"	"	"Zfp780b"	"	"	"	"	"	"	"	"	"Pcbp2"	"	"	"	"	"	"	"	"	"	"	"Hgf"	"	"	"	"	"Hnrnph3"	"	"	"Gart"	"	"	"Hnrnpm"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdf2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps19"	"	"	"	"	"	"	"Zfp787"	"	"	"	"	"	"	"	"	"Pcbp3"	"	"	"	"	"	"	"	"	"	"	"Hgsnat"	"	"	"	"	"Hnrnpk"	"	"	"Gas1"	"	"	"Hnrnpr"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sdha"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps6ka1"	"	"	"	"	"	"	"Zfp799"	"	"	"	"	"	"	"	"	"Pccb"	"	"	"	"	"	"	"	"	"	"	"Hhatl"	"	"	"	"	"Hnrnpl"	"	"	"Gas2l3"	"	"	"Hnrnpu"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec11a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps6ka3"	"	"	"	"	"	"	"Zfp809"	"	"	"	"	"	"	"	"	"Pcdh10"	"	"	"	"	"	"	"	"	"	"	"Hibadh"	"	"	"	"	"Hnrnpll"	"	"	"Gas6"	"	"	"Hnrnpul1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec16a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps6ka5"	"	"	"	"	"	"	"Zfp810"	"	"	"	"	"	"	"	"	"Pcdh11x"	"	"	"	"	"	"	"	"	"	"	"Hibch"	"	"	"	"	"Hnrnpr"	"	"	"Gas7"	"	"	"Hoga1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec22b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps6kb1"	"	"	"	"	"	"	"Zfp839"	"	"	"	"	"	"	"	"	"Pcdh7"	"	"	"	"	"	"	"	"	"	"	"Hic1"	"	"	"	"	"Hnrnpu"	"	"	"Gas8"	"	"	"Homer1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec23a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rps6kc1"	"	"	"	"	"	"	"Zfp84"	"	"	"	"	"	"	"	"	"Pcdhgc3"	"	"	"	"	"	"	"	"	"	"	"Hic2"	"	"	"	"	"Hnrnpul1"	"	"	"Gata1"	"	"	"Homer2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec23ip"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rptor"	"	"	"	"	"	"	"Zfp85"	"	"	"	"	"	"	"	"	"Pcf11"	"	"	"	"	"	"	"	"	"	"	"Hif1a"	"	"	"	"	"Hoga1"	"	"	"Gata2"	"	"	"Hook1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec24a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rrad"	"	"	"	"	"	"	"Zfp87"	"	"	"	"	"	"	"	"	"Pcgf3"	"	"	"	"	"	"	"	"	"	"	"Hif1an"	"	"	"	"	"Homer1"	"	"	"Gata3"	"	"	"Hp"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec24b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rragc"	"	"	"	"	"	"	"Zfp873"	"	"	"	"	"	"	"	"	"Pcgf5"	"	"	"	"	"	"	"	"	"	"	"Higd1a"	"	"	"	"	"Hp1bp3"	"	"	"Gata4"	"	"	"Hpd"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec24c"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rragd"	"	"	"	"	"	"	"Zfp930"	"	"	"	"	"	"	"	"	"Pck1"	"	"	"	"	"	"	"	"	"	"	"Hikeshi"	"	"	"	"	"Hpd"	"	"	"Gata6"	"	"	"Hpdl"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec31a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rrm1"	"	"	"	"	"	"	"Zfp931"	"	"	"	"	"	"	"	"	"Pclo"	"	"	"	"	"	"	"	"	"	"	"Hint2"	"	"	"	"	"Hpf1"	"	"	"Gatad2a"	"	"	"Hpf1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec61a1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rrm2"	"	"	"	"	"	"	"Zfp932"	"	"	"	"	"	"	"	"	"Pcm1"	"	"	"	"	"	"	"	"	"	"	"Hint3"	"	"	"	"	"Hpgds"	"	"	"Gatad2b"	"	"	"Hpgds"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sec63"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rrp1"	"	"	"	"	"	"	"Zfp942"	"	"	"	"	"	"	"	"	"Pcmtd2"	"	"	"	"	"	"	"	"	"	"	"Hip1"	"	"	"	"	"Hpn"	"	"	"Gatb"	"	"	"Hpn"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Secisbp2l"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rsbn1"	"	"	"	"	"	"	"Zfp943"	"	"	"	"	"	"	"	"	"Pcna"	"	"	"	"	"	"	"	"	"	"	"Hipk1"	"	"	"	"	"Hps1"	"	"	"Gatc"	"	"	"Hps3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Seh1l"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rsbn1l"	"	"	"	"	"	"	"Zfp954"	"	"	"	"	"	"	"	"	"Pcsk5"	"	"	"	"	"	"	"	"	"	"	"Hipk2"	"	"	"	"	"Hps3"	"	"	"Gatd1"	"	"	"Hps6"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sel1l"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rsf1"	"	"	"	"	"	"	"Zfp958"	"	"	"	"	"	"	"	"	"Pctp"	"	"	"	"	"	"	"	"	"	"	"Hipk3"	"	"	"	"	"Hps4"	"	"	"Gatd3a"	"	"	"Hpx"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sele"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rspry1"	"	"	"	"	"	"	"Zfp97"	"	"	"	"	"	"	"	"	"Pcyt1a"	"	"	"	"	"	"	"	"	"	"	"Hira"	"	"	"	"	"Hps6"	"	"	"Gatm"	"	"	"Hrc"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Selenbp1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtf1"	"	"	"	"	"	"	"Zfp971"	"	"	"	"	"	"	"	"	"Pcyt2"	"	"	"	"	"	"	"	"	"	"	"Hivep1"	"	"	"	"	"Hr"	"	"	"Gba2"	"	"	"Hrg"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Selenok"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtkn"	"	"	"	"	"	"	"Zfp984"	"	"	"	"	"	"	"	"	"Pdcd1lg2"	"	"	"	"	"	"	"	"	"	"	"Hivep2"	"	"	"	"	"Hrh2"	"	"	"Gbe1"	"	"	"Hrh3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Selenoo"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtn1"	"	"	"	"	"	"	"Zfpm1"	"	"	"	"	"	"	"	"	"Pdcd4"	"	"	"	"	"	"	"	"	"	"	"Hivep3"	"	"	"	"	"Hs1bp3"	"	"	"Gbf1"	"	"	"Hs1bp3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Selenop"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtn3"	"	"	"	"	"	"	"Zfr2"	"	"	"	"	"	"	"	"	"Pdcd6ip"	"	"	"	"	"	"	"	"	"	"	"Hjurp"	"	"	"	"	"Hs2st1"	"	"	"Gbp2"	"	"	"Hs3st3b1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sell"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtn4"	"	"	"	"	"	"	"Zfyve19"	"	"	"	"	"	"	"	"	"Pdcl"	"	"	"	"	"	"	"	"	"	"	"Hk1"	"	"	"	"	"Hs6st1"	"	"	"Gbp2b"	"	"	"Hs6st1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Selp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rtn4r"	"	"	"	"	"	"	"Zfyve21"	"	"	"	"	"	"	"	"	"Pde12"	"	"	"	"	"	"	"	"	"	"	"Hk2"	"	"	"	"	"Hsbp1"	"	"	"Gbp3"	"	"	"Hsbp1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sem1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rttn"	"	"	"	"	"	"	"Zfyve28"	"	"	"	"	"	"	"	"	"Pde3b"	"	"	"	"	"	"	"	"	"	"	"Hk3"	"	"	"	"	"Hsd11b1"	"	"	"Gbp4"	"	"	"Hsd11b1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sema4d"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rundc3b"	"	"	"	"	"	"	"Zkscan14"	"	"	"	"	"	"	"	"	"Pde4b"	"	"	"	"	"	"	"	"	"	"	"Hmcn1"	"	"	"	"	"Hsd17b10"	"	"	"Gbp5"	"	"	"Hsd17b10"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sema7a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Runx1"	"	"	"	"	"	"	"Zkscan17"	"	"	"	"	"	"	"	"	"Pde4d"	"	"	"	"	"	"	"	"	"	"	"Hmg20a"	"	"	"	"	"Hsd17b12"	"	"	"Gbp7"	"	"	"Hsd17b12"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Senp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Runx2"	"	"	"	"	"	"	"Zkscan3"	"	"	"	"	"	"	"	"	"Pde4dip"	"	"	"	"	"	"	"	"	"	"	"Hmga2"	"	"	"	"	"Hsd17b13"	"	"	"Gc"	"	"	"Hsd17b4"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Senp6"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Rwdd4a"	"	"	"	"	"	"	"Zkscan4"	"	"	"	"	"	"	"	"	"Pde7a"	"	"	"	"	"	"	"	"	"	"	"Hmgb2"	"	"	"	"	"Hsd17b4"	"	"	"Gcat"	"	"	"Hsd3b2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Senp7"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ryk"	"	"	"	"	"	"	"Zkscan6"	"	"	"	"	"	"	"	"	"Pde8a"	"	"	"	"	"	"	"	"	"	"	"Hmgcl"	"	"	"	"	"Hsd17b7"	"	"	"Gcc2"	"	"	"Hsd3b3"	"	"	"	"	"	"	"	"	"	"	"	"
