"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"	"	"	"	"	"	"Tet2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Lztfl1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pitpnb"	"	"	"	"	"Tob2"	"	"	"	"	"	"	"	"	"Tmcc3"	"	"	"Pcdh12"	"Minos1"	"	"	"	"	"Nedd9"	"	"	"Ndnf"	"Ppp2ca"	"Snx13"	"	"	"Mzt1"	"	"	"	"	"Zmat3"	"	"	"	"	"Mfsd7b"	"	"	"	"	"Igsf9"	"	"	"Kpna4"	"	"	"Igf2bp3"	"	"	"	"	"Krt6a"	"	"	"Shroom2"	"	"
"	"	"	"	"	"	"Tex12"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mab21l3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pitpnc1"	"	"	"	"	"Tra2b"	"	"	"	"	"	"	"	"	"Tmco1"	"	"	"Pcdh7"	"Mitd1"	"	"	"	"	"Nefm"	"	"	"Ndrg1"	"Ppp2r2c"	"Snx24"	"	"	"Nabp1"	"	"	"	"	"Zmiz1"	"	"	"	"	"Mgat4a"	"	"	"	"	"Ikbkap"	"	"	"Kremen1"	"	"	"Iglon5"	"	"	"	"	"Krt71"	"	"	"Ski"	"	"
"	"	"	"	"	"	"Tfb2m"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Macrod2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pkia"	"	"	"	"	"Traf3"	"	"	"	"	"	"	"	"	"Tmed10"	"	"	"Pcgf6"	"Mkrn3"	"	"	"	"	"Neu1"	"	"	"Ndst1"	"Ppp2r5c"	"Sobp"	"	"	"Nacc2"	"	"	"	"	"Zmpste24"	"	"	"	"	"Mgea5"	"	"	"	"	"Ikbke"	"	"	"Kremen2"	"	"	"Igsf1"	"	"	"	"	"Krtap10-10"	"	"	"Skp2"	"	"
"	"	"	"	"	"	"Tg"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Maff"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pkp4"	"	"	"	"	"Trim33"	"	"	"	"	"	"	"	"	"Tmed8"	"	"	"Pcif1"	"Mll1"	"	"	"	"	"Nfasc"	"	"	"Neo1"	"Ppp4r2"	"Socs7"	"	"	"Nadk"	"	"	"	"	"Zmym4"	"	"	"	"	"Mical3"	"	"	"	"	"Ikzf2"	"	"	"Krt6b"	"	"	"Igsf9"	"	"	"	"	"Krtap4-7"	"	"	"Slc13a5"	"	"
"	"	"	"	"	"	"Tgtp1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Magee1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pla2g15"	"	"	"	"	"Trmt11"	"	"	"	"	"	"	"	"	"Tmem106a"	"	"	"Pcsk7"	"Mll3"	"	"	"	"	"Nfib"	"	"	"Neto1"	"Pptc7"	"Sorbs1"	"	"	"Nagpa"	"	"	"	"	"Zmynd11"	"	"	"	"	"Mier3"	"	"	"	"	"Il10"	"	"	"Lalba"	"	"	"Ikbkap"	"	"	"	"	"Ky"	"	"	"Slc16a1"	"	"
"	"	"	"	"	"	"Tgtp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Magi3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plagl2"	"	"	"	"	"Trove2"	"	"	"	"	"	"	"	"	"Tmem127"	"	"	"Pctp"	"Mlxip"	"	"	"	"	"Nfic"	"	"	"Neurod2"	"Ppwd1"	"Sos1"	"	"	"Nanos1"	"	"	"	"	"Znrf3"	"	"	"	"	"Mitf"	"	"	"	"	"Il13"	"	"	"Larp4"	"	"	"Ikbke"	"	"	"	"	"Lad1"	"	"	"Slc20a2"	"	"
"	"	"	"	"	"	"Themis"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Magix"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plcb1"	"	"	"	"	"Trpm3"	"	"	"	"	"	"	"	"	"Tmem136"	"	"	"Pde4dip"	"Mmd"	"	"	"	"	"Nfkbib"	"	"	"Nf2"	"Prcp"	"Sost"	"	"	"Nap1l3"	"	"	"	"	"Zranb2"	"	"	"	"	"Mknk2"	"	"	"	"	"Il17ra"	"	"	"Lbh"	"	"	"Ikzf2"	"	"	"	"	"Lclat1"	"	"	"Slc25a22"	"	"
"	"	"	"	"	"	"Tia1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Manea"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plcd3"	"	"	"	"	"Trps1"	"	"	"	"	"	"	"	"	"Tmem151b"	"	"	"Pde7a"	"Mnt"	"	"	"	"	"Ngef"	"	"	"Nfam1"	"Prdm1"	"Sox11"	"	"	"Nap1l5"	"	"	"	"	"Zyg11b"	"	"	"	"	"Mkrn3"	"	"	"	"	"Il1a"	"	"	"Lbr"	"	"	"Il10"	"	"	"	"	"Ldlrap1"	"	"	"Slc30a10"	"	"
"	"	"	"	"	"	"Timp3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Map1b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plekha1"	"	"	"	"	"Tshz1"	"	"	"	"	"	"	"	"	"Tmem154"	"	"	"Pde7b"	"Morc3"	"	"	"	"	"Ngfr"	"	"	"Nfat5"	"Prdm4"	"Sox14"	"	"	"Nav3"	"	"	"	"	"	"	"	"	"	"	"Mll3"	"	"	"	"	"Il1rl1"	"	"	"Lcor"	"	"	"Il12rb2"	"	"	"	"	"Ldoc1l"	"	"	"Slc30a3"	"	"
"	"	"	"	"	"	"Tmem110"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Map2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plekhh2"	"	"	"	"	"Tshz3"	"	"	"	"	"	"	"	"	"Tmem170"	"	"	"Pdia6"	"Mpz"	"	"	"	"	"Nin"	"	"	"Nfe2l1"	"Prdx1"	"Sox4"	"	"	"Ncald"	"	"	"	"	"	"	"	"	"	"	"Mme"	"	"	"	"	"Il20rb"	"	"	"Lcorl"	"	"	"Il13"	"	"	"	"	"Lenep"	"	"	"Slc31a1"	"	"
"	"	"	"	"	"	"Tmem151b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Map3k13"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plod1"	"	"	"	"	"Tspan7"	"	"	"	"	"	"	"	"	"Tmem176b"	"	"	"Pdxdc1"	"Mrpl36"	"	"	"	"	"Ninl"	"	"	"Nfia"	"Prdx6"	"Specc1l"	"	"	"Ncam1"	"	"	"	"	"	"	"	"	"	"	"Mmgt1"	"	"	"	"	"Il6"	"	"	"Ldb3"	"	"	"Il17ra"	"	"	"	"	"Leng8"	"	"	"Slc35b2"	"	"
"	"	"	"	"	"	"Tmem170b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Map3k14"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Plxna2"	"	"	"	"	"Tspyl1"	"	"	"	"	"	"	"	"	"Tmem179"	"	"	"Peli2"	"Mrps2"	"	"	"	"	"Nipal4"	"	"	"Nfib"	"Prkar2b"	"Speg"	"	"	"Ncam2"	"	"	"	"	"	"	"	"	"	"	"Mmp16"	"	"	"	"	"Impg2"	"	"	"Leng8"	"	"	"Il1a"	"	"	"	"	"Lfng"	"	"	"Slc39a14"	"	"
"	"	"	"	"	"	"Tmem260"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapk10"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pmf1"	"	"	"	"	"Ttc39b"	"	"	"	"	"	"	"	"	"Tmem229b"	"	"	"Pepd"	"Msantd4"	"	"	"	"	"Nktr"	"	"	"Nfix"	"Prkca"	"Spn"	"	"	"Nck2"	"	"	"	"	"	"	"	"	"	"	"Mob1b"	"	"	"	"	"Ing3"	"	"	"Leprotl1"	"	"	"Il1rl1"	"	"	"	"	"Lgi1"	"	"	"Slc4a7"	"	"
"	"	"	"	"	"	"Tmem30b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapk1ip1l"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pnoc"	"	"	"	"	"Tubgcp5"	"	"	"	"	"	"	"	"	"Tmem255a"	"	"	"Pfkfb3"	"Msi2"	"	"	"	"	"Nlgn2"	"	"	"Nfs1"	"Prosc"	"Spop"	"	"	"Ncoa7"	"	"	"	"	"	"	"	"	"	"	"Mob3c"	"	"	"	"	"Inip"	"	"	"Letmd1"	"	"	"Il6"	"	"	"	"	"Lhfpl4"	"	"	"Slc6a2"	"	"
"	"	"	"	"	"	"Tmem47"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapk8ip3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pnp2"	"	"	"	"	"Tulp4"	"	"	"	"	"	"	"	"	"Tmem41a"	"	"	"Pgam1"	"Mta1"	"	"	"	"	"Nop16"	"	"	"Nhp2l1"	"Prpf38b"	"Spred1"	"	"	"Ncor2"	"	"	"	"	"	"	"	"	"	"	"Mplkip"	"	"	"	"	"Ino80d"	"	"	"Lgr4"	"	"	"Il6ra"	"	"	"	"	"Lhx6"	"	"	"Slc7a1"	"	"
"	"	"	"	"	"	"Tmem55a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapkbp1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Podxl"	"	"	"	"	"Tvp23b"	"	"	"	"	"	"	"	"	"Tmem56"	"	"	"Pgm2l1"	"Mtdh"	"	"	"	"	"Nos1ap"	"	"	"Nipsnap1"	"Prss35"	"Sprr2a1"	"	"	"Ndel1"	"	"	"	"	"	"	"	"	"	"	"Mprip"	"	"	"	"	"Inpp5a"	"	"	"Lhx9"	"	"	"Il6st"	"	"	"	"	"Lifr"	"	"	"Slc9a6"	"	"
"	"	"	"	"	"	"Tmem56"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapre1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pogk"	"	"	"	"	"U2surp"	"	"	"	"	"	"	"	"	"Tmem59l"	"	"	"Phactr3"	"Mtmr6"	"	"	"	"	"Nova2"	"	"	"Nkain2"	"Psd2"	"Sprr2a2"	"	"	"Necap1"	"	"	"	"	"	"	"	"	"	"	"Mras"	"	"	"	"	"Insr"	"	"	"Limd1"	"	"	"Impg2"	"	"	"	"	"Limd2"	"	"	"Slc9a9"	"	"
"	"	"	"	"	"	"Tmod3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapre3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pogz"	"	"	"	"	"Ube2l3"	"	"	"	"	"	"	"	"	"Tmprss3"	"	"	"Phc2"	"Mttp"	"	"	"	"	"Npl"	"	"	"Nkain3"	"Psg29"	"Sprr2d"	"	"	"Nedd1"	"	"	"	"	"	"	"	"	"	"	"Mreg"	"	"	"	"	"Ints12"	"	"	"Limd2"	"	"	"Inadl"	"	"	"	"	"Lin52"	"	"	"Smad3"	"	"
"	"	"	"	"	"	"Tmprss11a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mapt"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Polq"	"	"	"	"	"Ubl3"	"	"	"	"	"	"	"	"	"Tmtc2"	"	"	"Phf15"	"Mtx3"	"	"	"	"	"Nr6a1"	"	"	"Nkx2-6"	"Psma1"	"Spryd4"	"	"	"Nedd4"	"	"	"	"	"	"	"	"	"	"	"Mrps25"	"	"	"	"	"Ints2"	"	"	"Limk2"	"	"	"Ing3"	"	"	"	"	"Lingo1"	"	"	"Smad6"	"	"
"	"	"	"	"	"	"Tmsb4x"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"March5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pou4f1"	"	"	"	"	"Ubr3"	"	"	"	"	"	"	"	"	"Tnfrsf1b"	"	"	"Phf20"	"Mybl2"	"	"	"	"	"Nrbp2"	"	"	"Nme4"	"Psmd11"	"Spryd7"	"	"	"Nedd4l"	"	"	"	"	"	"	"	"	"	"	"Msantd1"	"	"	"	"	"Intu"	"	"	"Lin28a"	"	"	"Inip"	"	"	"	"	"Liph"	"	"	"Smarcd2"	"	"
"	"	"	"	"	"	"Tmub2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"March8"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Pou6f1"	"	"	"	"	"Ubtd2"	"	"	"	"	"	"	"	"	"Tnfrsf22"	"	"	"Phf7"	"Myh10"	"	"	"	"	"Nrip3"	"	"	"Nmi"	"Psme3"	"Spta1"	"	"	"Nefl"	"	"	"	"	"	"	"	"	"	"	"Mslnl"	"	"	"	"	"Ipo11"	"	"	"Lin28b"	"	"	"Ino80d"	"	"	"	"	"Llph"	"	"	"Smek2"	"	"
"	"	"	"	"	"	"Tnp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mark2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppargc1b"	"	"	"	"	"Usp25"	"	"	"	"	"	"	"	"	"Tnfrsf23"	"	"	"Phldb2"	"Myh11"	"	"	"	"	"Nrm"	"	"	"Nol3"	"Psph"	"Sptlc3"	"	"	"Negr1"	"	"	"	"	"	"	"	"	"	"	"Mtap7d3"	"	"	"	"	"Iqcb1"	"	"	"Lingo1"	"	"	"Inpp5a"	"	"	"	"	"Lman2"	"	"	"Smoc1"	"	"
"	"	"	"	"	"	"Tnrc6b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mat1a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppfia1"	"	"	"	"	"Ust"	"	"	"	"	"	"	"	"	"Tnfsf9"	"	"	"Phox2b"	"Myh9"	"	"	"	"	"Nt5c"	"	"	"Nono"	"Ptar1"	"Srcin1"	"	"	"Neurl1b"	"	"	"	"	"	"	"	"	"	"	"Mtdh"	"	"	"	"	"Iqsec2"	"	"	"Liph"	"	"	"Insr"	"	"	"	"	"Lphn1"	"	"	"Smpd3"	"	"
"	"	"	"	"	"	"Topors"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Max"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppm1b"	"	"	"	"	"Utrn"	"	"	"	"	"	"	"	"	"Tnrc6b"	"	"	"Phyhip"	"Myo5a"	"	"	"	"	"Nt5dc1"	"	"	"Nop16"	"Ptdss1"	"Srgap2"	"	"	"Neurod6"	"	"	"	"	"	"	"	"	"	"	"Mtfmt"	"	"	"	"	"Irf4"	"	"	"Lipt2"	"	"	"Ints12"	"	"	"	"	"Lrch4"	"	"	"Sms"	"	"
"	"	"	"	"	"	"Tpcn1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mbp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp1cc"	"	"	"	"	"Vamp4"	"	"	"	"	"	"	"	"	"Tns4"	"	"	"Pi4k2b"	"Myo9b"	"	"	"	"	"Ntrk3"	"	"	"Notch1"	"Pten"	"Srp72"	"	"	"Neurog1"	"	"	"	"	"	"	"	"	"	"	"Mtm1"	"	"	"	"	"Irs1"	"	"	"Lix1"	"	"	"Ints2"	"	"	"	"	"Lrp10"	"	"	"Smtnl2"	"	"
"	"	"	"	"	"	"Tpk1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mbtd1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp1r10"	"	"	"	"	"Vat1l"	"	"	"	"	"	"	"	"	"Tom1l2"	"	"	"Pik3ip1"	"Mzt1"	"	"	"	"	"Nudt11"	"	"	"Notch2"	"Ptges3"	"Srpx"	"	"	"Nf1"	"	"	"	"	"	"	"	"	"	"	"Mtmr1"	"	"	"	"	"Isca2"	"	"	"Lmln"	"	"	"Intu"	"	"	"	"	"Lrp11"	"	"	"Snx13"	"	"
"	"	"	"	"	"	"Tpp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mcc"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp1r11"	"	"	"	"	"Vegfc"	"	"	"	"	"	"	"	"	"Tomt"	"	"	"Pilrb2"	"Nabp1"	"	"	"	"	"Nudt18"	"	"	"Notum"	"Ptgs1"	"Srsf6"	"	"	"Nfat5"	"	"	"	"	"	"	"	"	"	"	"Mtpn"	"	"	"	"	"Islr2"	"	"	"Lmod1"	"	"	"Ipo11"	"	"	"	"	"Lrp2bp"	"	"	"Snx24"	"	"
"	"	"	"	"	"	"Tram1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mcm8"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp1r14d"	"	"	"	"	"Vkorc1l1"	"	"	"	"	"	"	"	"	"Tor1aip2"	"	"	"Pim2"	"Nacc2"	"	"	"	"	"Nuf2"	"	"	"Nptx1"	"Ptprd"	"Ssbp3"	"	"	"Nfatc2"	"	"	"	"	"	"	"	"	"	"	"Mtx2"	"	"	"	"	"Itga4"	"	"	"Lmtk2"	"	"	"Iqcb1"	"	"	"	"	"Lrp8"	"	"	"Socs7"	"	"
"	"	"	"	"	"	"Trp53inp1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mcmbp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp1r3c"	"	"	"	"	"Vps37a"	"	"	"	"	"	"	"	"	"Trak1"	"	"	"Pin1"	"Nadk"	"	"	"	"	"Numa1"	"	"	"Nptxr"	"Ptprg"	"Ssr1"	"	"	"Nfatc3"	"	"	"	"	"	"	"	"	"	"	"Mum1l1"	"	"	"	"	"Itga8"	"	"	"Lmx1a"	"	"	"Iqsec2"	"	"	"	"	"Lrrc16b"	"	"	"Sox12"	"	"
"	"	"	"	"	"	"Trp53inp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mdm4"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp2r3a"	"	"	"	"	"Vrk1"	"	"	"	"	"	"	"	"	"Treml2"	"	"	"Pip4k2b"	"Nagpa"	"	"	"	"	"Numbl"	"	"	"Nr2f2"	"Ptpro"	"Ssr3"	"	"	"Nfia"	"	"	"	"	"	"	"	"	"	"	"Mxi1"	"	"	"	"	"Itga9"	"	"	"Lnp"	"	"	"Irf4"	"	"	"	"	"Lrrc20"	"	"	"Spata2l"	"	"
"	"	"	"	"	"	"Trps1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mecp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp2r5a"	"	"	"	"	"Wasf1"	"	"	"	"	"	"	"	"	"Trib3"	"	"	"Pipox"	"Naip6"	"	"	"	"	"Nup210"	"	"	"Nr6a1"	"Pum2"	"Ssrp1"	"	"	"Nfib"	"	"	"	"	"	"	"	"	"	"	"Mycbp"	"	"	"	"	"Itgav"	"	"	"Lonrf3"	"	"	"Irs1"	"	"	"	"	"Lrrc24"	"	"	"Spen"	"	"
"	"	"	"	"	"	"Tshz1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Med15"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp4r2"	"	"	"	"	"Wasl"	"	"	"	"	"	"	"	"	"Trim45"	"	"	"Pira2"	"Nanos1"	"	"	"	"	"Nup50"	"	"	"Nrf1"	"Pxdc1"	"St3gal1"	"	"	"Nfyb"	"	"	"	"	"	"	"	"	"	"	"Mylk4"	"	"	"	"	"Itgb3"	"	"	"Lor"	"	"	"Isca2"	"	"	"	"	"Lrrc28"	"	"	"Spry1"	"	"
"	"	"	"	"	"	"Tspan12"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Med20"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp6c"	"	"	"	"	"Wbp7"	"	"	"	"	"	"	"	"	"Trim66"	"	"	"Pkib"	"Nap1l3"	"	"	"	"	"Nxn"	"	"	"Nrip3"	"Pxmp4"	"St6galnac1"	"	"	"Nhlh2"	"	"	"	"	"	"	"	"	"	"	"Myo9a"	"	"	"	"	"Itih5"	"	"	"Loxl4"	"	"	"Itga4"	"	"	"	"	"Lrrc3"	"	"	"Spsb1"	"	"
"	"	"	"	"	"	"Tspan2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Med22"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppp6r3"	"	"	"	"	"Wdfy3"	"	"	"	"	"	"	"	"	"Trim9"	"	"	"Pkp4"	"Nap1l5"	"	"	"	"	"Oaz2"	"	"	"Nrn1"	"Qk"	"St7"	"	"	"Nid1"	"	"	"	"	"	"	"	"	"	"	"N4bp2l2"	"	"	"	"	"Itpkc"	"	"	"Lpar2"	"	"	"Itga8"	"	"	"	"	"Lrrc57"	"	"	"Sptan1"	"	"
"	"	"	"	"	"	"Ttc14"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Med7"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppt2"	"	"	"	"	"Whsc1l1"	"	"	"	"	"	"	"	"	"Trpm2"	"	"	"Pla2g2f"	"Napepld"	"	"	"	"	"Odf2"	"	"	"Nrxn2"	"Rab11b"	"Stk17b"	"	"	"Nid2"	"	"	"	"	"	"	"	"	"	"	"Naa15"	"	"	"	"	"Itsn1"	"	"	"Lpgat1"	"	"	"Itga9"	"	"	"	"	"Lrrc8a"	"	"	"Sptbn1"	"	"
"	"	"	"	"	"	"Ttc28"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Med9"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ppwd1"	"	"	"	"	"Wif1"	"	"	"	"	"	"	"	"	"Trpm3"	"	"	"Pla2g4d"	"Nav3"	"	"	"	"	"Opalin"	"	"	"Nsd1"	"Rab21"	"Strbp"	"	"	"Nipal1"	"	"	"	"	"	"	"	"	"	"	"Naa30"	"	"	"	"	"Iws1"	"	"	"Lphn1"	"	"	"Itgb3"	"	"	"	"	"Lrrn4cl"	"	"	"Sptlc2"	"	"
"	"	"	"	"	"	"Ttyh3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Melk"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Prcp"	"	"	"	"	"Wnt7b"	"	"	"	"	"	"	"	"	"Trps1"	"	"	"Plagl2"	"Ncald"	"	"	"	"	"Opcml"	"	"	"Nsmce2"	"Rab32"	"Stxbp5"	"	"	"Nipal4"	"	"	"	"	"	"	"	"	"	"	"Nab1"	"	"	"	"	"Jmjd4"	"	"	"Lrfn4"	"	"	"Itpkc"	"	"	"	"	"Lst1"	"	"	"Srgap2"	"	"
"	"	"	"	"	"	"Tulp4"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mesdc2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Prdx6"	"	"	"	"	"Wtap"	"	"	"	"	"	"	"	"	"Tspan9"	"	"	"Plb1"	"Ncam1"	"	"	"	"	"Orai1"	"	"	"Nsun6"	"Rab3b"	"Sumo2"	"	"	"Nkx2-2"	"	"	"	"	"	"	"	"	"	"	"Nabp1"	"	"	"	"	"Jph4"	"	"	"Lrig2"	"	"	"Itsn1"	"	"	"	"	"Lta"	"	"	"Srsf10"	"	"
"	"	"	"	"	"	"Txlng"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mfap1a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Prepl"	"	"	"	"	"Yes1"	"	"	"	"	"	"	"	"	"Ttc14"	"	"	"Plcb3"	"Ncam2"	"	"	"	"	"Orc2"	"	"	"Ntn1"	"Rab40c"	"Suv420h1"	"	"	"Nlgn1"	"	"	"	"	"	"	"	"	"	"	"Nacc2"	"	"	"	"	"Kank4"	"	"	"Lrig3"	"	"	"Iws1"	"	"	"	"	"Luzp1"	"	"	"Ss18l1"	"	"
"	"	"	"	"	"	"Txndc11"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mfap1b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Prex1"	"	"	"	"	"Ythdc1"	"	"	"	"	"	"	"	"	"Ttc19"	"	"	"Plcxd2"	"Nck2"	"	"	"	"	"Osbpl9"	"	"	"Ntn3"	"Rab6a"	"Svip"	"	"	"Nolc1"	"	"	"	"	"	"	"	"	"	"	"Nagpa"	"	"	"	"	"Katnbl1"	"	"	"Lrrc15"	"	"	"Jmjd4"	"	"	"	"	"Ly96"	"	"	"Sspn"	"	"
"	"	"	"	"	"	"Ube2e1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mfap5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Prex2"	"	"	"	"	"Ythdf1"	"	"	"	"	"	"	"	"	"Ttc38"	"	"	"Plekha8"	"Ncoa7"	"	"	"	"	"Osgep"	"	"	"Ntng1"	"Rabgap1l"	"Syncrip"	"	"	"Nop9"	"	"	"	"	"	"	"	"	"	"	"Nampt"	"	"	"	"	"Kcna1"	"	"	"Lrrc20"	"	"	"Kank4"	"	"	"	"	"Lyrm7"	"	"	"St8sia2"	"	"
