ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-6911-3p	0	0	0	0	0	0	9	0	0	0	0	6	0	3	0	6	2	1
mmu-miR-6911-5p	0	0	0	0	0	0	4	0	9	0	0	7	0	4	0	0	2	0
mmu-miR-6912-3p	0	0	0	0	6	10	6	0	0	0	0	0	0	1	9	0	2	0
mmu-miR-6912-5p	0	0	0	0	14	17	12	29	0	0	0	11	13	11	3	3	5	5
mmu-miR-6913-3p	10	0	0	0	0	5	3	0	0	0	0	0	3	11	0	8	4	0
mmu-miR-6913-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0
mmu-miR-6914-3p	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2
mmu-miR-6914-5p	6	0	0	0	8	0	0	0	0	0	0	0	0	4	3	4	0	2
mmu-miR-6915-3p	0	0	0	0	7	6	4	0	8	0	8	0	9	4	24	9	6	9
mmu-miR-6915-5p	16	0	0	0	0	0	10	0	0	0	0	10	7	8	5	11	5	0
mmu-miR-6916-3p	0	0	0	0	5	9	4	0	0	0	0	0	0	10	5	0	0	0
mmu-miR-6916-5p	18	0	0	0	11	0	4	0	0	0	0	0	0	3	0	5	0	0
mmu-miR-6917-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	6	6	4	5	6
mmu-miR-6917-5p	0	0	0	0	0	8	0	0	0	0	0	0	8	1	0	0	1	0
mmu-miR-6918-3p	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0	2	0
mmu-miR-6918-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	7	3
mmu-miR-6919-3p	13	20	0	76	18	12	31	33	129	33	56	85	65	127	97	166	88	43
mmu-miR-6919-5p	0	0	0	25	4	0	6	0	0	0	0	10	0	6	1	5	3	0
mmu-miR-692	0	0	0	0	17	4	0	0	0	0	0	10	0	0	4	2	4	2
